year,lobbyist_name,agency,agency_address
2012,OEDEKOVEN DR. DUSTIN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2012,HOLLAND DR. SAM,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2012,MILLER DR. MENDEL,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2013,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2013,DR. SAM HOLLAND,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2013,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2013,DR DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2014,DR DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2014,DR SAM HOLLAND,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2014,DR MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2015,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2015,DR. SAM HOLLAND,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2015,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2016,DR. SAM HOLLAND,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2016,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2016,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2016,DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2016,MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2017,DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2017,MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2018,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,
2019,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2019,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2020,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2020,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2020,DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2020,MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2021,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2021,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2022,DR. DUSTIN OEDEKOVEN,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2022,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2022,TODD TEDROW,ANIMAL INDUSTRY BOARD,
2023,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2023,DR BETH THOMPSON,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2023,DR TODD TEDROW,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2024,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2024,DR BETH THOMPSON,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2024,DR SUSAN REENDERS,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2025,DR. BETH THOMPSON,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2025,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2026,DR. MENDEL MILLER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2026,DR. CHRIS PARMER,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2026,DR. TAMMY ANDERSON,ANIMAL INDUSTRY BOARD,"500 EAST CAPITOL AVE , SD 57501"
2012,CHARLES D. MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,BRYAN R GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,MATT ROBY,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,SHERRI R KAUS,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,PAUL S SWEDLUND,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,DANIEL A SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2012,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,BRYAN GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,JEROMY PANKRATZ,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,BETHANNA FEIST,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,DAN SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,BRYAN GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2013,JEROMY PANKRATZ,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2014,BETHANNA FEIST,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2014,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2014,BRYAN GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2014,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2014,JEROMY PANKRATZ,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2014,DAN SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2014,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,JEROMY PANKRATZ,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,SARA RABERN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,BRYAN GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,DAN SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,STEVE BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,CAM COREY,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,CAM COREY,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,WANDA BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,CAM COREY,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,CAM COREY,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2015,PAUL SWEDLUND,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2016,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2016,JEROMY PANKRATZ,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2016,STEVEN BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2016,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2016,BRYAN GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2016,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2017,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2017,BRYAN GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2017,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2017,JEROMY PANKRATZ,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2017,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2017,STEVEN BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2018,BRYAN GORTMAKER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2018,JEROMY PANKRATZ,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2018,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2018,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2018,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2018,STEVEN BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2019,STEVEN BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2019,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2019,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2019,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2019,TIM BORMANN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2019,DAVID NATVIG,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2019,TOM DEADRICK,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,TIM BORMANN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,KAY MCLAIN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,STEVEN BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,DAVID NATVIG,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,SCOTT RECHTENBAUGH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2020,TOM DEADRICK,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,TIM BORMANN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,STEVEN BLAIR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,DAVID NATVIG,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,BRIAN ZEEB,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,SCOTT RECHTENBAUGH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,TOM DEADRICK,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2021,KELSEY ROTH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2022,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2022,TIM BORMANN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2022,DAVID NATVIG,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2022,TOM DEADRICK,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2022,KELSEY ROTH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2022,STEPHEN GEMAR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2022,CAMERON COREY,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2023,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2023,KELSEY ROTH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2023,STEPHEN GEMAR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2023,MARK BARNETT,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2023,DAN SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,CHARLES MCGUIGAN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,DAN SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,KELSEY ROTH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,JESSICA LAMIE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,GRANT FLYNN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,STEPHEN GEMAR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,CHAD MOSTELLER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,TIFFANY STOESER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2024,BRENT KEMPEMA,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,STEPHEN GEMAR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,AMANDA (MANDY) MIILLER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,DAN SATTERLEE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,KELSEY ROTH,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,JESSICA LAMIE,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,GRANT FLYNN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,CHAD MOSTELLER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,TIFFANY STOESER,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2025,BRENT KEMPEMA,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,BRENT KEMPEMA,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,GRANT FLYNN,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,JASON WILLIAMS,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
2026,STEPHEN GEMAR,ATTORNEY GENERAL,"1302 EAST HIGHWAY 14, SUITE 1 PIERRE, SD 57501"
