year,name_last,name_first,state_agency_or_tribe
2021,Abeln,Barb,Department of Human Services
2021,AbouSamra,Haifa,Board of Regents
2021,Abraham,Doug,SD Science & Technology Authority
2021,Adam,Joan,Department of Health
2021,Adams,Bobi,Department of Revenue
2021,Afdahl,Bret,Department of Labor and Regulation
2021,Almond,Penni,State Treasurer Office
2021,ALMOND,TRAVIS,South Dakota Retirement System
2021,Ambach,Craig,Bureau of Administration
2021,Anderson,Laurie,Board of Regents
2021,Bachand,Paul,Bureau of Finance and Management
2021,Baker,Patrick,Department of Tourism
2021,Barnett,Mallori,Bureau of Human Resources
2021,Barnett,Steve,Secretary of State
2021,Bastian,John,Board of Regents
2021,Bastian,Kayla,Board of Regents
2021,Beck,Kellie,Department of Transportation
2021,Beer,Jane,South Dakota Retirement System
2021,Behm,Mike,Department of Transportation
2021,Berg,Steve,Bureau of Administration
2021,Besch,Peggy,Department of Agriculture and Natural Resources
2021,Besch,Peggy,Dept. of Agriculture and Nat Resources
2021,Bierne,Jon,Department of Public Safety
2021,Blair,Amanda,Board of Regents
2021,Blair,Steven,Attorney General
2021,Bollinger,Scott W.,Bureau of Administration
2021,Bonrud,Shelia,Governor's Office
2021,Boos,Carole,Department of Human Services
2021,Booth,Deanne,Bureau of Information and Telecommunications
2021,Bormann,Tim,Attorney General
2021,Bossman,Daria,Department of Education
2021,Boxley,Kayla,Secretary of State
2021,Boyd,Kate,Cosmetology Commission
2021,Bren,Sherry,Department of Labor and Regulation
2021,Broers,John,Department of Public Safety
2021,Brown,Brock,Board of Regents
2021,Bruels,Andy,Department of Agriculture and Natural Resources
2021,Bruels,Andy,Dept. of Agriculture and Nat Resources
2021,Bucheli,Daniel,Department of Health
2021,Bunkers,Kristi,Department of Corrections
2021,Burchill,Pat,SD Ellsworth Development Authority
2021,Buscher,Kelli,Department of Agriculture and Natural Resources
2021,Buscher,Kelli,Dept. of Agriculture and Nat Resources
2021,Cambon,Allen,Governor's Office
2021,Cammack,Kristi,Board of Regents
2021,Campbell,Jason,Department of the Military
2021,Carlsen,Bailey,Department of Tourism
2021,Cassady,Joe,Board of Regents
2021,Chambliss,Cody,Public Utilities Commission
2021,Christian,Susan,Commission On Gaming
2021,Christopherson,Dustin,Bureau of Finance and Management
2021,Clark,Doug,Department of Corrections
2021,Clark,Liza,Bureau of Finance and Management
2021,Clark,Matt,South Dakota Investment Council
2021,Clayton,Joshua,Department of Health
2021,Clines,Jeff,Bureau of Information and Telecommunications
2021,Coleman,John,Governor's Office
2021,Coppersmith,Bridget,Department of Corrections
2021,Corbin,Steve,Bureau of Finance and Management
2021,Cornelison,Mike,School and Public Lands
2021,Coyle,Lesley,Department of Revenue
2021,Cremer,Karen,Public Utilities Commission
2021,Cruse,Rebecca,Department of Tourism
2021,Davis,Ralph,Board of Regents
2021,Day,Hon. Michael,Unified Judicial System
2021,de Hueck,Adam,Public Utilities Commission
2021,Deadrick,Tom,Attorney General
2021,DeBoer,Dustin,Department of Transportation
2021,Decker,Mackenzie,Department of Labor and Regulation
2021,Deiter,Larry,Department of Labor and Regulation
2021,DeJabet,Lee,State Treasurer Office
2021,Dell,Maggie,Department of Labor and Regulation
2021,DesLauriers,Scott,Board of Technical Education
2021,Dokken,Beth,Department of Health
2021,Dovre,Dawn,Department of Labor and Regulation
2021,Dovre,Travis,Department of Tourism
2021,Dovre,Travis,Gov's Office of Econ Dev
2021,Dowling,Kayla,Secretary of State
2021,Downs,Timothy,Board of Regents
2021,Dunn,Barry,Board of Regents
2021,Edman,Jim,Bureau of Information and Telecommunications
2021,Edson,Kim,Department of Corrections
2021,Edwards,Kristen,Public Utilities Commission
2021,Eliason,Larry,Commission On Gaming
2021,Engebretson,Dan,Board of Regents
